68.7	14.3	29/06/2017
69.3	15.1	30/06/2017
68.6	14.7	01/07/2017
68.8	14.9	02/07/2017
68.3	14.9	03/07/2017
68.9	14.8	04/07/2017
68.7	15.0	05/07/2017
68.0	14.4	06/07/2017
68.4	14.9	07/07/2017
68.1	14.6	08/07/2017
68.2	14.4	09/07/2017
68.6	14.8	10/07/2017
68.6	15.0	11/07/2017
68.8	15.1	13/07/2017
68.4	14.7	14/07/2017
68.2	14.5	16/07/2017
68.3	14.7	17/07/2017
68.1	14.5	18/07/2017
68.0	15.0	11/08/2017
